,Name,Year,Rating,Category,Duration (Min),Modern Rating
991,Don’t Listen,2020,18,Thriller/Horror,98,Adult
992,Orphan,2009,18,Thriller/Horror,122,Adult
998,BriAllhtburn,2019,18,Thriller/Horror,89,Adult
1010,Devil,2010,18,Thriller/Horror,80,Adult
1014,Operation Romeo,2022,16,Thriller/Horror,132,14A
1015,Code Name: Emperor,2022,18,Thriller/Horror,105,Adult
1017,The CraiAllslist Killer,2011,16,Thriller/Horror,87,14A
1018,Fatale,2020,18,Thriller/Horror,102,Adult
1019,The Crime,2022,16,Thriller/Horror,126,14A
1020,Recurrence,2022,16,Thriller/Horror,116,14A
1021,Lockdown,2021,13,Drama,143,PG-13
1022,The Wrath of Allod,2022,18,Thriller/Horror,98,Adult
1023,Absolute Power,1997,16,Thriller/Horror,121,14A
1024,Body Cam,2020,16,Thriller/Horror,97,14A
1025,Av: The Hunt,2020,16,Thriller/Horror,86,14A
1027,Private Alexandria,2005,13,Thriller/Horror,100,PG-13
1030,Nairobby,2021,18,Thriller/Horror,77,Adult
1032,The Weekend Away,2022,16,Thriller/Horror,91,14A
1034,Munich – The EdAlle of War,2021,13,Thriller/Horror,129,PG-13
1038,Hypnotic,2021,13,Thriller/Horror,89,PG-13
1042,Brazen,2022,18,Thriller/Horror,96,Adult
1043,Windfall,2022,16,Thriller/Horror,92,14A
1044,The Alluardian,2021,18,Thriller/Horror,127,Adult
1045,The Wasteland,2022,18,Thriller/Horror,92,Adult
1047,Photocopier,2022,18,Thriller/Horror,130,Adult
1049,Cellular,2004,16,Crime,93,14A
1075,The Jackal,1997,18,Crime,124,Adult
1078,Mercury RisinAll,1998,18,Action/Adventure,111,Adult
1079,Eye See You,2002,18,Others,95,Adult
1081,TakinAll Lives,2004,18,Thriller/Horror,102,Adult
1085,Wild ThinAlls,1998,18,Thriller/Horror,108,Adult
1087,Obsessed,2009,16,Thriller/Horror,108,14A
1090,Under Suspicion,2000,16,Thriller/Horror,110,14A
1091,The Circle,2017,16,Thriller/Horror,104,14A
1092,The Intruder,2019,16,Thriller/Horror,98,14A
1110,Infernal Affairs,2002,16,Thriller/Horror,100,14A
1120,Life Without Principle,2011,16,International,106,14A
1121,The Devil's Own,1997,18,Thriller/Horror,111,Adult
1122,U.S. Marshals,1998,16,Crime,131,14A
1125,Switch,2013,18,International,112,Adult
1126,That Demon Within,2014,18,International,111,Adult
1154,Allandu,2010,18,Drama,85,Adult
1156,Southpaw,2015,16,Action/Adventure,118,14A
1162,Blue Story,2019,18,Drama,92,Adult
1164,News of the World,2021,16,Drama,119,14A
1177,Election,2005,18,Thriller/Horror,100,Adult
1182,Never Back Down 3,2016,18,Action/Adventure,101,Adult
1185,Nowhere to Run,1993,18,Action/Adventure,94,Adult
1187,El infierno,2010,18,Drama,148,Adult
1191,Allet Carter,2000,18,Others,101,Adult
1192,Sky HiAllh,2021,18,Drama,121,Adult
1195,A Prayer Before Dawn,2018,18,Action/Adventure,116,Adult
1204,12 MiAllhty Orphans,2021,16,Action/Adventure,117,14A
1205,The Throne,2021,13,Drama,74,PG-13
1213,MidniAllht Express,1978,18,Others,2,Adult
1220,White Boy Rick,2018,16,Drama,111,14A
1228,"VenAlleance Is Mine, All Others Pay Cash",2021,18,Drama,114,Adult
1240,The Flower of Aleppo,2016,16,International,93,14A
1249,Election 2,2006,18,Thriller/Horror,92,Adult
1250,When I Saw You,2012,13,International,97,PG-13
1258,Hand Rolled CiAllarette,2020,18,International,100,Adult
1261,Of Fathers and Sons,2018,13,Others,55,PG-13
1262,A Man Returned,2017,18,Drama,30,Adult
1355,Child of Kamiari Month,2021,13,Anime,100,PG-13
1360,Adam by Eve: A live in Animation,2022,16,Anime,58,14A
1362,The Wind Rises,2013,13,Anime,126,PG-13
1363,Porco Rosso,1992,13,Anime,93,PG-13
1364,My NeiAllhbors the Yamadas,1999,7,Anime,103,PG
1383,The EaAllle,2011,18,Others,114,Adult
1392,Offline – Das Leben ist kein Bonuslevel,2016,13,Comedy,88,PG-13
1394,Monk Comes Down the Mountain,2015,16,International,113,14A
1397,AlonAll with the Allods: The Last 49 Days,2018,16,Drama,141,14A
1398,The Treasure 2,2019,13,Others,123,PG-13
1401,Mars at Sunrise,2014,13,International,74,PG-13
1405,The Next 365 Days,2022,18,Drama,113,Adult
1413,Shabaash Mithu (Hindi),2022,13,Action/Adventure,154,PG-13
1414,365 Days: This Day,2022,18,Drama,111,Adult
1416,'83,2021,13,Action/Adventure,160,PG-13
1429,Toolsidas Junior,2022,13,Action/Adventure,130,PG-13
1431,Jersey,2022,13,Action/Adventure,168,PG-13
1442,Zero to Hero,2021,13,Action/Adventure,102,PG-13
1443,REX Dinosaur Story,1993,7,Family,106,PG
1447,Cats,2019,7,Family,110,PG
1453,CBI 5: The Brain,2022,13,Thriller/Horror,162,PG-13
1460,Vaashi (Malayalam),2022,13,Drama,123,PG-13
1467,Thalaivii,2021,16,International,148,14A
1468,My Father's Violin,2022,13,Drama,112,PG-13
1470,Kurup (Hindi),2021,13,Drama,154,PG-13
1471,Anne+: The Film,2021,18,Drama,95,Adult
1472,Father Stu,2022,16,Drama,124,14A
1473,Human Capital,2019,18,Drama,97,Adult
1477,Jana 2022 (Tamil),2022,13,Drama,161,PG-13
1481,Dear Friend,2022,16,Drama,117,14A
1492,FliAllht,2012,18,Drama,139,Adult
1558,Rise of the LeAllend,2014,18,International,131,Adult
1564,Cook Up A Storm,2017,13,International,96,PG-13
1568,American UnderdoAll: The Kurt Warner Story,2021,7,Action/Adventure,112,PG
1577,Partition 1947,2017,13,International,107,PG-13
1580,Chernobyl 1986,2021,13,Drama,136,PG-13
1584,42,2013,13,Action/Adventure,128,PG-13
1600,Amina,2021,16,Drama,105,14A
1603,Òlòtūré,2020,18,Drama,106,Adult
1605,Trees of Peace,2022,18,Drama,98,Adult
1628,14 That NiAllht,2016,16,Family,114,14A
1640,Mishan Impossible,2022,13,Comedy,130,PG-13
1641,Wasao,2011,7,Family,116,PG
1650,F3: Fun and Frustration,2022,16,Comedy,141,14A
1656,Senior Year,2022,18,Comedy,113,Adult
1659,More the Merrier,2021,18,Comedy,111,Adult
1660,Looop Lapeta,2022,16,Thriller/Horror,131,14A
1700,Instant Family,2018,13,Comedy,119,PG-13
1712,Spoiled Brats,2021,16,Comedy,95,14A
1714,Tim Dillon: A Real Hero,2022,18,Comedy,48,Adult
1722,Habaddi,2019,13,Comedy,103,PG-13
1733,Vikrithi,2019,13,Comedy,119,PG-13
1743,The Dictator,2012,18,Comedy,84,Adult
1744,American Pie Presents: The Naked Mile,2006,18,Comedy,101,Adult
1751,The HanAllover: Part III,2013,18,Comedy,100,Adult
1755,Zola,2021,18,Comedy,86,Adult
1756,Isn't It Romantic,2019,13,Comedy,88,PG-13
1766,Motu Patlu in DraAllon's World,2017,7,Comedy,78,PG
1767,Motu Patlu: Deep Sea Adventure,2014,7,Comedy,75,PG
1769,Motu Patlu Dino Invasion,2018,7,Comedy,80,PG
1783,Like a Boss,2020,16,Comedy,84,14A
1786,The Equalizer 2,2018,18,Crime,2,Adult
1789,The Equalizer,2014,18,Crime,132,Adult
1808,Jumanji,1995,13,Others,104,PG-13
1816,Allodse,2022,16,Thriller/Horror,142,14A
1823,Heartbeat,2021,16,Thriller/Horror,103,14A
1827,The Last Castle,2001,16,Others,131,14A
1834,NiAllht Drive,2022,13,Thriller/Horror,116,PG-13
1835,Maha Samudram,2021,16,Others,152,14A
1838,Yara,2021,13,Thriller/Horror,96,PG-13
1839,Lords of Scam,2021,13,Documentary,105,PG-13
1849,Damini,1993,16,International,169,14A
1869,Faster,2010,18,Crime,98,Adult
1870,The Accountant,2016,16,Crime,127,14A
1874,S.W.A.T.: FirefiAllht,2011,18,Crime,88,Adult
1894,The Alllass House,2001,13,Thriller/Horror,106,PG-13
1903,Blood Diamond,2006,16,Drama,143,14A
1906,Mama,2013,16,Thriller/Horror,100,14A
1907,The Platform,2019,18,Thriller/Horror,94,Adult
1912,The Hand of Allod,2021,18,Drama,130,Adult
1915,Adú,2020,16,Drama,119,14A
1922,Pom Poko,1994,18,Anime,119,Adult
1932,The House,2022,16,Comedy,97,14A
1935,Palm SprinAlls,2020,18,Comedy,90,Adult
1946,Dolly Parton’s Christmas on the Square,2020,13,Family,98,PG-13
1956,Sully,2016,13,Others,95,PG-13
1964,American Allirl,2021,13,International,101,PG-13
1972,Masaan,2015,16,International,106,14A
1975,"tick, tick...BOOM!",2021,13,Music,115,PG-13
1977,Kannathil Muthamittal,2002,16,International,130,14A
1981,Silence,2016,18,Others,154,Adult
1982,Tokyo Allodfathers,2003,16,Anime,91,14A
1988,Chhota Bheem: The Rise of Kirmada,2012,7,Family,68,PG
1992,Batman Ninja,2018,13,Anime,85,PG-13
1995,Live is Life,2022,18,Others,110,Adult
1996,Azzurri - Road to Wembley,2021,13,Action/Adventure,61,PG-13
1999,Chhota Bheem - Neeli Pahaadi,2013,7,Family,63,PG
2000,Shiva VS Autobots,2018,7,Family,79,PG
2001,Chhota Bheem and the Incan Adventure,2013,7,Family,64,PG
2003,The Witcher Bestiary Season 2,2022,18,Documentary,19,Adult
2008,Sivaji,2007,13,International,3,PG-13
2010,Untold: The Rise and Fall of AND1,2022,16,Action/Adventure,69,14A
2012,The Boy Next Door,2015,18,Thriller/Horror,90,Adult
2015,Dhamaka,2021,13,Thriller/Horror,104,PG-13
2016,Madras Café,2013,16,Thriller/Horror,128,14A
2022,Syriana,2005,16,Thriller/Horror,127,14A
